r,g,b,name,color
78,140,23,g1,color_g1
29,62,8,g2,color_g2
49,100,14,g3,color_g3
166,214,61,g4,color_g4
65,114,22,g5,color_g5
172,218,11,g6,color_g6
209,248,110,g7,color_g7
175,233,58,g8,color_g8
95,145,33,g9,color_g9
97,161,31,g10,color_g10
150,199,53,g11,color_g11
146,199,79,g12,color_g12
